inc_q,sample_size,pct_account,pct_digital,pct_saved,pct_borrowed
1,23353,59.478439600907805,0.0,38.71451205412581,47.462852738406205
2,24880,65.95659163987139,0.0,46.39067524115756,51.05305466237942
3,27546,69.35671240833516,0.0,52.39599215857111,52.35605895592826
4,30926,73.6985061113626,0.0,58.32309383690099,53.81232619802109
5,37182,80.06024420418481,0.0,66.50260878919909,55.86574148781669
